Booth Number,Pos X,Pos Y,Pos Z
Floor_S1B1,-11.6509,0.0,26.641
Floor_S1B2,-11.6509,0.0,21.1467
Floor_S1B3,-17.5945,0.0,21.1467
Floor_S1B4,-17.5945,0.0,26.641
Floor_S1B5,-21.288,0.0,26.6388
Floor_S1B6,-21.288,0.0,21.1435
Floor_S1B7,-21.288,0.0,15.6514
Floor_S2B1,-11.6509,0.0,10.2207
Floor_S2B2,-11.6509,0.0,4.8132
Floor_S2B3,-11.6509,0.0,-0.6486
Floor_S2B4,-17.5945,0.0,-0.6486
Floor_S2B5,-17.5945,0.0,4.8132
Floor_S2B6,-17.5945,0.0,10.2207
Floor_S2B7,-21.288,0.0,10.1879
Floor_S2B8,-21.288,0.0,4.7532
Floor_S2B9,-21.288,0.0,-0.6786
Floor_S3B1,-11.6509,0.0,-8.5003
Floor_S3B2,-11.6509,0.0,-13.9931
Floor_S3B3,-17.5945,0.0,-13.9931
Floor_S3B4,-17.5945,0.0,-8.5003
Floor_S3B5,-21.288,0.0,-6.1357
Floor_S3B6,-21.288,0.0,-11.6054
Floor_S3B7,-21.288,0.0,-17.0598
Floor_S4B1,-11.6509,0.0,-22.5884
Floor_S4B2,-11.6509,0.0,-28.0009
Floor_S4B3,-11.6509,0.0,-33.3624
Floor_S4B4,-17.5945,0.0,-33.3624
Floor_S4B5,-17.5945,0.0,-28.0009
Floor_S4B6,-17.5945,0.0,-22.5884
Floor_S4B7,-21.288,0.0,-22.5316
Floor_S4B8,-21.288,0.0,-27.9948
Floor_S4B9,-21.288,0.0,-33.447
Floor_S5B1,-1.0258,0.0,26.641
Floor_S5B2,-1.0258,0.0,21.1467
Floor_S5B3,-6.779,0.0,21.1467
Floor_S5B4,-6.779,0.0,26.641
Floor_S5B5,2.6168,0.0,15.66
Floor_S5B6,2.6168,0.0,21.1695
Floor_S5B7,2.6168,0.0,26.6562
Floor_S6B1,-1.0258,0.0,10.2173
Floor_S6B2,-1.0258,0.0,4.8127
Floor_S6B3,-1.0258,0.0,-0.6457
Floor_S6B4,-6.779,0.0,-0.6457
Floor_S6B5,-6.779,0.0,4.8127
Floor_S6B6,-6.779,0.0,10.2173
Floor_S6B7,2.6168,0.0,2.1267
Floor_S6B8,2.6168,0.0,7.6969
Floor_S7B1,-1.0258,0.0,-8.5003
Floor_S7B2,-1.0258,0.0,-13.9931
Floor_S7B3,-6.779,0.0,-13.9931
Floor_S7B4,-6.779,0.0,-8.5003
Floor_S7B5,2.6168,0.0,-16.962
Floor_S7B6,2.6168,0.0,-11.5701
Floor_S7B7,2.6168,0.0,-6.1555
Floor_S8B1,-1.0258,0.0,-22.5886
Floor_S8B2,-1.0258,0.0,-27.9999
Floor_S8B3,-1.0258,0.0,-33.3611
Floor_S8B4,-6.779,0.0,-33.3611
Floor_S8B5,-6.779,0.0,-27.9999
Floor_S8B6,-6.779,0.0,-22.5886
Floor_S8B7,2.6168,0.0,-33.5551
Floor_S8B8,2.6168,0.0,-28.1143
Floor_S9B1,16.0397,0.0,26.6332
Floor_S9B2,16.0397,0.0,21.1658
Floor_S9B3,16.0397,0.0,15.7318
Floor_S9B4,16.0397,0.0,10.2887
Floor_S9B5,10.3258,0.0,10.2887
Floor_S9B6,10.3258,0.0,15.7318
Floor_S9B7,10.3258,0.0,21.1658
Floor_S9B8,10.3258,0.0,26.6332
Floor_S9B9,19.8574,0.0,15.683
Floor_S9B10,19.8574,0.0,21.1804
Floor_S9B11,19.8574,0.0,26.6442
Floor_S10B1,16.0725,0.0,-11.5182
Floor_S10B2,16.0725,0.0,-16.9911
Floor_S10B3,16.0725,0.0,-22.4704
Floor_S10B4,10.3587,0.0,-22.4704
Floor_S10B5,10.3587,0.0,-16.9911
Floor_S10B6,10.3587,0.0,-11.5182
Floor_S10B7,19.8574,0.0,-17.1138
Floor_S10B8,19.8574,0.0,-11.5141
Floor_Special1,15.2752,0.0,-0.6241
Floor_Special2,18.0666,-0.0,-0.6241
