Booth Number,Pos X,Pos Y,Pos Z
Coffee_Catering,21.6153,0.0,9.3332
Exit,7.07365,0.0,37.9867
ITRC_Booth,16.6074,0.0,-30.8601
Kiosk1,23.6046,0.0,1.3168
Kiosk2,6.3558,0.0,-0.0291
Life4Cut,-5.7318,0.0,0.073
Lucky_Draw,-9.455,0.0,-1.4061
New_Dance,11.2521,0.0,-22.0622
Photo_Zone,6.3558,0.0,4.2566
Section1,-19.3296,0.0,21.4514
Section2,-19.3296,0.0,5.2938
Section3,-19.3296,0.0,-12.0267
Section4,-19.3296,0.0,-27.6335
Section5,0.8062,0.0,21.4514
Section6,0.8062,0.0,5.2938
Section7,0.8062,0.0,-12.0267
Section8,0.8062,0.0,-27.6335
Section9,17.9941,0.0,18.8503
Section10,17.9941,0.0,-16.7699
Section_Special,16.5183,0.0,-0.566
Toilet1,27.0981,0.0,35.8558
Toilet2,-13.6192,0.0,-40.9105
Entrance,30.1485,0.0,-6.10835
Kiosk1,6.07681,0.0,-0.012262
Kiosk2,23.3318,0.0,1.15219
