category,id,center_name,university,image_file
"반도체·디스플레이","182322_508426163","KAIST 인공지능반도체시스템 연구센터","KAIST","01-semiconductor-display/182322_508426163.png"
"반도체·디스플레이","182330_508426163","인하대학교 인공지능 시스템반도체","인하대학교","01-semiconductor-display/182330_508426163.png"
"반도체·디스플레이","182336_508426163","서울과학기술대학교 AI 반도체 프로세싱 SW 연구센터","서울과학기술대학교","01-semiconductor-display/182336_508426163.png"
"반도체·디스플레이","182341_508426163","광운대학교 휴먼브레인 뉴로컴퓨팅 플랫폼 연구센터","광운대학교","01-semiconductor-display/182341_508426163.jpg"
"반도체·디스플레이","182349_508426163","서강대학교 대규모데이터센터용 인공지능 시스템반도체 연구센터","서강대학교","01-semiconductor-display/182349_508426163.png"
"반도체·디스플레이","182355_508426163","세종대학교 온디바이스 AI 반도체 연구센터","세종대학교","01-semiconductor-display/182355_508426163.jpg"
"반도체·디스플레이","18242_508426163","금오공과대학교 온센서 AI 반도체 연구센터","금오공과대학교","01-semiconductor-display/18242_508426163.png"
"차세대 AI·빅데이터","94330_722175598","동국대학교 Knowledge Science 연구센터","동국대학교","02-next-ai-bigdata/94330_722175598.jpg"
"차세대 AI·빅데이터","94338_722175598","고려대학교 범용 인공지능 연구센터","고려대학교","02-next-ai-bigdata/94338_722175598.png"
"차세대 AI·빅데이터","13437_722177284","성균관대학교 Open-ended Alignment 인공지능 연구센터","성균관대학교","02-next-ai-bigdata/13437_722177284.jpg"
"차세대 AI·빅데이터","13454_722177284","경희대학교 AI-LIVE 연구센터","경희대학교","02-next-ai-bigdata/13454_722177284.png"
"차세대 AI·빅데이터","94359_722175598","부산대학교 Digital-X AIoT 연구센터","부산대학교","02-next-ai-bigdata/94359_722175598.png"
"차세대 AI·빅데이터","9448_722175598","고려대학교 ICT명품인재양성사업단","고려대학교","02-next-ai-bigdata/9448_722175598.png"
"차세대 AI·빅데이터","94415_722175598","POSTECH 인간 인지-지능 증강 연구센터","POSTECH","02-next-ai-bigdata/94415_722175598.png"
"첨단 바이오·헬스케어","133532_722177284","전남대학교 초광역 연합 의료 AI 연구센터","전남대학교","03-bio-healthcare/133532_722177284.png"
"첨단 바이오·헬스케어","133537_722177284","고려대학교 스마트시티 지능형 헬스케어 연구센터","고려대학교","03-bio-healthcare/133537_722177284.png"
"첨단 바이오·헬스케어","133542_722177284","아주대학교 지능형 의료 영상 진단 솔루션 연구센터","아주대학교","03-bio-healthcare/133542_722177284.png"
"첨단 바이오·헬스케어","133546_722177284","KAIST 일상-항시적 건강관리 Earable-IoT 연구센터","KAIST","03-bio-healthcare/133546_722177284.png"
"첨단 바이오·헬스케어","133551_722177284","UNIST 5T-SPACE 연구센터","UNIST","03-bio-healthcare/133551_722177284.png"
"첨단 바이오·헬스케어","133557_722177284","성균관대학교 ICT명품인재양성사업단","성균관대학교","03-bio-healthcare/133557_722177284.png"
"첨단 바이오·헬스케어","13362_722177284","강원대학교 강원지능화혁신센터","강원대학교","03-bio-healthcare/13362_722177284.png"
